UniProt Accession ID,Description,Gene,V08,V28,NV1,V15L,V31,NV2,V14,V6L,V15,V23,V1O,V16,V11,V9L,V01,V22,V04,V25,V07,V10,V17,NV6,NV4,V1L,V13,V21,V6L,V12,V30,NV7,V05,V20,V03,V32,V06,V27,V02
DPYL2_HUMAN,Dihydropyrimidinase-related protein 2,DPYSL2,21168.58734,10021.83186,153892.0764,274824.5702,4196.165006,1,2529.708013,31286.10659,8747.143745,947532.7113,15725.77221,37771.34557,5488.318339,18945751.51,6396.546564,3292.584512,14564.63048,6755.434205,3734.041288,3610.597745,1794035.301,407686.7293,14823.14144,81401.93609,5231.880078,23142.794,27199.44736,8417.959514,4577.684302,20267.97273,23746.13545,8723.466277,12465.49922,41277.15399,198421.1766,6598.656359,19428.05846
DSC1_HUMAN,Desmocollin-1,DSC1,46835.9241,455753.8409,213586.8783,463077.5925,458712.8119,12021.4543,30373.53501,141499.8769,275948.0976,85402.59577,102327.0416,492843.1575,190109.7175,85538.37985,23039.36446,236781.377,471046.6751,131200.4854,207189.9532,94213.49619,49035.30476,37574.02413,103098.0211,242874.1129,26996.57769,260090.2883,81804.77628,256152.3133,14909.72308,409478.6643,1397038.802,57655.44589,36572.87418,304496.7727,239734.6743,110305.0642,1015110.027
DSC2_HUMAN,Desmocollin-2,DSC2,141628.5013,2944925.437,985632.8925,1276063.53,2720084.973,75363.5746,91934.50905,526608.0971,680031.0243,445409.6343,1409580.242,763585.1987,2020988.2,1349479.131,721134.4564,4894534.859,448425.2188,2937410.959,231753.1026,1390054.108,524536.4275,802556.6547,407593.7335,794631.0255,1098609.954,1791316.343,4163601.977,108208.9013,2795366.354,146049.9123,6513415.901,1178132.166,2014702.294,1100615.634,2233928.061,839321.0633,1771008.147
DSG1_HUMAN,Desmoglein-1,DSG1,116772.8717,776112.2987,359762.5266,78016192.27,463989.6439,7603.391448,169642.9179,166515.1646,132481.9011,237377.9818,175467.7163,89858.80597,285622.4623,131175.7045,253727.7074,886139.2896,284514.0438,320773.5448,55388.95966,106332.0661,196536.9242,10846.29698,43081.88726,587043.0948,624040.6154,407352.1082,564746.6998,70511.56816,763388.9531,207944.978,246248.2178,833983.1449,203528.1483,235960.3327,219086.9918,137425.0588,515453.3561
DSG2_HUMAN,Desmoglein-2,DSG2,335089.3076,1,443132.657,2357.964126,840.7900258,205622.8587,222.5777936,68102.13482,94.61614597,47320.00498,30498.73707,14316.94853,11290.5288,34407.15101,31603.7948,48673.6264,7522.666113,20674.56078,1158.876071,3854.356017,2551.823622,81712.63163,88570.90712,1,2522.040052,12528.79301,16925.6573,3417.329513,8399.443631,82224.91095,12054.82573,13013.63333,20324.75707,1625.216293,16545.11857,7919.097518,12048.674
DSG3_HUMAN,Desmoglein-3,DSG3,426321.9024,766010.157,456186.6173,354538.1971,1308744.097,20717.62055,2486.052135,567474.4774,594679.2307,324735.6831,572559.6181,485196.1751,1053569.887,1508427.143,1768829.139,975793.8689,1463217.84,2109569.006,766345.7012,1517690.103,600765.9843,370600.3093,447601.3694,1597731.832,867145.8519,1316932.282,1377588.024,192304.8172,5258316.865,357716.2062,1346263.733,1536075.632,2193080.288,1104306.841,1776665.197,820756.798,1867599.166
DYHC1_HUMAN,Cytoplasmic dynein 1 heavy chain 1,DYNC1H1,770.2401823,4010.26013,8918.485167,668306.8936,813.130508,215.4057527,1,9127.258253,13858.5509,55309.22018,7487.501139,7314.101907,112.5767372,136119.6082,22229.11001,3381.334287,11105.04656,2748.353548,48048.69153,942.5012521,12360.383,6407.033188,105640.4792,11788.29551,1224.907717,387.7564625,5792.16273,55655.23914,2066.975418,13899.78163,4158.517245,8186.911598,1,616.4634078,5779.195777,40333.02404,49609.75407
DYN2_HUMAN,Dynamin-2,DNM2,1166.711861,55310.75748,18625.3281,28574.41575,15613.28936,27898.78174,1,5697.625047,6961.87523,50713.39833,16217.41278,4690.455127,23.01004123,185364.6585,14943.30205,3401.003157,5217.304057,9467.619766,1684.46059,2417.028357,16302.67645,71904.30838,16835.76393,0.008379585,9824.730748,1674.268696,7976.192175,37317.16387,369.2374087,8053.121504,218323.1738,2805.638376,1581.718489,465.185068,19692.87012,78279.39407,59259.70122
ECH1_HUMAN,"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial",ECH1,96529.94278,10914.5984,107707.5059,57270.50177,17903.03707,114184.3048,3627.506493,102580.6834,102775.6127,34623.42114,54700.91905,87077.99559,12450.31382,23000.96205,18671.99197,1806801.753,101528.1014,93738.05986,209500.9509,65902.29222,122483.8156,5624980.71,113546.5997,18686.26867,23791.71032,42669.91099,57476.46927,29661.47718,142859.2879,68652.01586,257202.7764,77482.43886,54764.60051,294125.2769,38747.69435,48691.43987,65079.78783
ECHB_HUMAN,"Trifunctional enzyme subunit beta, mitochondrial",HADHB,52226.62746,10.70976925,333.3406246,108612.4645,1485.444699,38749.94313,5867.280449,39967.9765,22287.29243,37501.75721,13825.19463,8489.324337,14140.59063,26701.2032,5653.599115,4794.487503,2751.335468,17419.86739,1,1004.515583,8630.886555,28612.37897,1406.675894,17505.82637,21359.60008,3811.542635,32600.02886,1051.503764,3294.905302,5272.896617,13710.43716,1375.470972,612.8235263,15830.43669,25845.01769,67604.27308,55284.41513
ECHM_HUMAN,"Enoyl-CoA hydratase, mitochondrial",ECHS1,314520.1731,1267393.633,134689.698,14619.00013,24250.6159,368756.8231,1638745.57,114614.4863,808467.3738,9819.541612,60668.46137,150061.6979,79847.43079,48082.83862,397018.9277,312279.5304,245545.0904,455670.2326,41134.10058,215566.1278,89957.00891,60988.52847,113030.7497,82792.76212,142264.0276,943242.8086,52428.7912,62580.14079,611019.9664,177095.675,48523.52578,209137.9262,1649945.408,196424.3503,14826.34695,463458.2113,828660.2666
ECI1_HUMAN,"Enoyl-CoA delta isomerase 1, mitochondrial",ECI1,2011.60909,41482.32162,48783.66888,34648.83067,141532.8724,20547.53538,297.1464299,72284.15351,99793.34748,154868.6441,13863.41086,104376.7375,41733.9444,28355.71527,353669.1134,127417.1884,17903.3243,81087.43168,16287.46794,42136.28408,12023.24607,68324.72864,207892.8806,24645.55354,13360.00219,51406.66663,33315.49711,380945.6478,158287.0218,54214.04699,103828.9231,367822.4369,124738.3844,208713.0367,21905.43059,40353.79952,52071.87183
ECM1_HUMAN,Extracellular matrix protein 1,ECM1,7931597.733,4742562.599,2536843.78,7117071.604,10889994.89,407544.7823,964354.9263,3972705.42,4520657.39,915113.143,11902191.93,4004069.676,7644303.654,7029254.184,1510349.753,9249113.985,18693296.39,32633687.08,2411730.958,5456093.77,1207931.621,8185514.695,1418364.802,21309255.07,3005951.294,15632954.4,5457452.467,3787039.376,19592941.17,3793598.817,18671869.52,9028729.003,29395305.48,14911757.25,28089067.17,11194239.55,28338488.35
EEA1_HUMAN,Early endosome antigen 1,EEA1,500392.2249,95715.41163,92795.415,544936.7537,197283.0583,32990.45489,5166.780099,790777.9675,2332004.694,455080.9647,382037.9642,5347671.428,1284723.66,984079.2093,190338.5679,1607988.264,550255.3035,1225475.314,599344.4356,670346.9505,202415.5353,138312.8028,25245.38859,180640.3306,545994.4633,793947.3608,239594.6235,126663.433,277953.1808,1092665.006,606264.6248,135549.9107,1119119.207,704650.3049,961012.4013,165114.5116,287674.4171
EF1A1_HUMAN,Elongation factor 1-alpha 1,EEF1A1,710700.6289,6539.908048,1553140.128,1337668.853,1249579.645,169096.1184,2639.353242,389993.1157,83296.51987,717521.5124,1394247.847,49554.00687,1275994.194,2521886.838,150321.9422,2402200.248,173408.6797,1494635.418,666393.8218,1066799.312,587039.4153,296885.2237,315756.5585,1278120.259,222060.2243,2171966.364,2037750.1,66447.9429,444698.4535,2498124.024,2041040.713,655534.9009,801742.1602,1224056.405,1018608.293,6042246.786,5526526.971
EF1B_HUMAN,Elongation factor 1-beta,EEF1B2,338626.4543,81404.6536,352909.5446,1654.556565,165304.7845,163983.6996,9382.150637,84022.05959,98087.76727,75682.78069,25990.47705,72280.11794,290355.9832,58159.55285,91534.21893,811656.3999,89938.16309,47509.87675,21051.83971,283881.4181,263236.296,78513.39994,20332.46962,27304.89676,147475.1681,278057.0342,19596.67107,71128.65833,190184.2818,175361.9115,85687.52048,176340.2978,124960.6395,335089.6718,80398.25727,68471.28592,39393.20271
EF1D_HUMAN,Elongation factor 1-delta,EEF1D,266579.65,220414.9126,221244.7986,40668.8005,160493.354,18389.226,5375.182408,260190.7672,343514.7137,104809.5679,131168.8593,317198.6488,42264.88368,281617.354,54232.90855,162192.8889,109397.5778,359747.1634,126770.1059,154651.0225,218766.6506,310613.5382,98429.66272,65335.52526,147388.7653,289806.9504,69885.81475,228818.4681,488587.3116,162927.7745,221819.8959,1325432.746,292715.2053,129677.9627,84205.25933,325806.8206,581418.3543
EF1G_HUMAN,Elongation factor 1-gamma,EEF1G,526361.2065,73179.17273,495877.0297,492465.1429,227127.3155,75826.11724,5930.625499,97713.30834,97766.03061,1411195.568,84768.72946,70142.0244,2229732.182,447226.107,591742.9863,321682.3643,122208.0698,252853.0267,951915.2804,101656.2318,1006324.857,49086.33849,229345.8084,174229.6946,347214.4972,450152.5526,245920.2886,1654972.586,571786.3506,901095.6843,196791.3316,540695.1096,242608.1736,56814.39555,1161858.701,1209748.182,1090658.575
EF2_HUMAN,Elongation factor 2,EEF2,220804.4949,1652286.255,2243253.043,577183.1281,767169.3211,834803.5248,1178313.617,300710.3228,8163652.012,779020.6101,3305829.806,20112684.84,888037.6651,606466.6925,531556.9345,1243232.375,2406260.242,1928184.456,1241840.668,687506.439,1266918.801,464394.4398,1035354.161,510359.5687,2242317.894,21304639.12,602615.4048,1594965.699,487169.1934,1880545.316,851821.6192,1014882.01,6249462.374,449318.1678,1683392.312,2039613.007,3111764.36
EFGM_HUMAN,"Elongation factor G, mitochondrial",GFM1,352.1760707,28442.91769,1870.846488,3656.993789,801.6158623,588.7514951,16857.76551,13813.84973,30312.14069,475.3793642,13955.49973,142791.5581,2369.732134,15940.47066,2955.409725,23082.1577,632.1911494,1282.095051,2964.152246,4480.804324,41819.03577,54260.36141,7691.683786,7182.217327,1137.060363,3838.611102,8918.015758,135.1367177,8267.962017,35111.75191,6358.995451,8546.432982,35512.66231,11732.19176,9246.559276,12519.72223,8784.839827
EFHD2_HUMAN,EF-hand domain-containing protein D2,EFHD2,73018.41123,75807.59293,481361.0017,273286.2733,46017.84642,177670.0304,71972.20726,25584.57906,207502.3903,723066.1492,74338.86026,88951.91876,32410.80875,285902.7984,789713.4655,63658.84914,2359841.839,85084.7365,191240.9937,75266.73194,424299.2108,166005.5029,761110.1586,1491685.396,93054.70878,47646.75912,64135.35829,524134.3588,107198.2223,644205.8171,233265.3719,323590.1896,40240.79699,71249.21001,124980.0535,341228.7563,232050.0008
EIF3A_HUMAN,Eukaryotic translation initiation factor 3 subunit A,EIF3A,0.008822072,6445.911705,27650.43918,4297.623523,14527.90293,17.90487678,19665.9088,1934.739208,14453.69454,1434.72113,7975.162292,15539.75224,15612.64881,12331.58664,1277.911115,9786.028338,27307.24744,23555.76257,6963.899061,6976.944024,5385.577103,3178.554191,3458.906079,85.6646886,14009.23443,31998.10481,5291.726978,13066.79853,14036.36758,27659.46983,24455.41549,17761.77249,43271.6592,6615.64953,15033.07516,29920.60171,42091.03597
EIF3J_HUMAN,Eukaryotic translation initiation factor 3 subunit J,EIF3J,26758.83673,15329.74061,512985.0677,11786.1411,309284.6058,1846.631161,315.7395215,240969.4919,1659.766023,8457.080189,2187.409283,176.2954058,53889.50386,96777.21026,9969.859762,21943.35605,124985.4958,163044.225,25079.62661,72174.53292,23651.21281,17713.50014,5331.001439,22282.24579,33116.76806,67273.51601,22824.34239,8532.771714,16459.40309,131419.6632,64334.84725,27130.01437,86538.36096,75540.05638,39191.07768,6540.07855,1
ELAF_HUMAN,Elafin,PI3,111709.7644,189008.625,6021409.271,2696183.643,2891280.711,581953.7568,547870.4806,298817.023,781087.5103,1479322.168,505334.0185,1029280.165,1220197.95,309750.012,807158.8355,2399595.102,1005922.972,319760.3529,16316470.52,2644352.851,1074848.511,151752.4673,2232258.772,729495.9117,1672479.495,222490.7541,2102651.151,112761.3984,571012.0324,1749045.963,767116.0741,1491767.273,1489326.229,1273226.219,1140232.007,4140542.438,5228009.841
ELNE_HUMAN,Neutrophil elastase,ELANE,60629.52378,55053.30494,162916.0834,181784.5687,110904.6529,9692.139158,31858.37709,748117.2438,465684.1231,3126603.225,61613.84184,1174958.954,3212130.803,342083.9692,1640613.79,1005869.875,323468.8522,29753.84258,4142996.229,651470.5049,145494.2055,256447.2013,16430322.64,1266268.063,810725.0756,1096849.702,993926.5057,1835842.327,721922.2119,1498165.298,653261.5525,1994332.873,1819008.349,694934.035,480737.2627,799274.3603,1491422.059
EMAL2_HUMAN,Echinoderm microtubule-associated protein-like 2,EML2,64788.75637,40060.47867,427466.5419,51214.53624,18946.84098,239961.9581,4886.73802,44378.77938,62455.49215,34785.85026,49277.09553,89165.13522,124064.2465,105424.1964,30393.21445,218591.0108,23303.34428,82762.04979,85513.75973,16405.48454,63826.54396,63907.46297,225100.4481,333866.9545,25588.60768,181582.1902,35757.15569,49674.26867,36600.42849,233575.2931,38966.71131,228123.5053,49357.71942,80297.22237,37035.29111,88816.72265,90464.82109
EMAL4_HUMAN,Echinoderm microtubule-associated protein-like 4,EML4,109085.7339,23142.46721,228201.0905,188427.8701,42720.54329,12861.75551,10874.05907,88072.12771,10143.12723,58079.84611,19928.7524,19213.13612,31160.21996,170015.3885,49182.04285,194126.9364,42209.4653,137763.6974,89343.80598,18440.19926,38136.38306,409317.4095,180820.2239,55093.10129,4118.677227,78834.61744,14069.05883,15390.73479,28237.21967,228284.2023,91414.24662,80532.77604,38372.05674,40623.86796,24980.51671,56713.06789,95850.89141
ENDOU_HUMAN,Poly(U)-specific endoribonuclease,ENDOU,41174.28545,19764.15194,578295.8806,72906.41806,178978.534,75573.01876,267027.477,498267.2201,145474.6231,267203.6357,22803.65873,103790.8299,190668.73,33641.26414,582443.6205,271304.6719,64823.81467,165052.9763,277963.1843,65391.98079,38564.56688,74060.17985,188413.7459,62773.24674,220005.3751,294047.8321,101606.9989,166848.8749,144014.0956,278217.3792,109825.1651,714966.9603,428075.5577,170143.2442,117469.0172,114062.0588,76409.40158
ENOA_HUMAN,Alpha-enolase,ENO1,2428366.196,1040261.347,20760986.01,1149140.233,831343.2033,1577980.936,509934.0497,1014264.93,1158704.827,3785930.335,1059249.975,666400.2705,979126.9386,1903492.401,851297.338,1242974.209,4418660.042,1746495.675,13824361.22,1002074.194,4650762.575,6804754.479,19168235.82,3898869.706,748723.8247,1974876.436,6360618.886,3042731.726,352626.2453,3426974.906,2230990.045,12991367.93,2043569.691,2075371.487,2870190.601,5774385.145,10959227.52
ENPL_HUMAN,Endoplasmin,HSP90B1,30074.65831,165607.8688,286074.3602,259959.932,75881.11208,25215.67199,16349.11514,64287.28691,143892.4461,138071.0788,119010.2896,98919.79943,43086.20048,235986.1797,78812.57656,28852.67175,68924.31752,20388.12314,144237.7243,166009.7611,80304.52317,67201.38488,272612.9268,21943.89851,22946.92488,21563.17049,146138.9743,47313.26123,37299.55913,181412.2475,88396.22268,99462.36462,60256.86376,37473.52103,99041.82528,224264.3613,234874.6385
ENSA_HUMAN,Alpha-endosulfine,ENSA,432480.7438,1072337.732,78934.83576,333073.1648,583054.0067,2237.400656,83954.55857,160691.8725,69572.30915,35999.75031,351978.6513,22322.78399,88269.70039,114028.547,70648.90348,780934.1148,507233.1015,396835.4155,205910.753,626031.344,82048.84308,72415.18822,13677.68057,422385.7502,277402.4959,182311.5156,296200.005,40476.25001,613195.7404,56843.8021,522112.0531,236615.1105,310772.3336,912052.4027,525864.2788,495487.6879,1599633.049
EPCAM_HUMAN,Epithelial cell adhesion molecule,EPCAM,56905.85365,13769.02942,23693.56742,6701.188849,32255.59336,1686.474878,112642.216,11586.85883,86163.8259,10409.7378,5311.337131,2807.238577,17119.64471,6795.404972,195311.2122,20477.57812,835.6123211,17508.1983,476.4569716,3567.482631,5039.912145,16348.06319,16120.1729,14445.23846,5525.127326,17238.39985,11733.46732,485.7788629,1765.951941,4356.988163,3410.456008,1465.786783,6731.484718,10977.77126,38744.983,17332.82939,5975.829165
EPN4_HUMAN,Clathrin interactor 1,CLINT1,4551.262291,10557.90888,4700.418324,50171.71623,83.82316952,17589.3413,317.7500669,3950.522566,11947.57732,536349.4805,43495.91476,19298.85592,4414.827534,13175.27192,194831.4407,8185.07724,3744.336795,1566.085364,18834.68335,199.3068495,25396.43164,136.9188744,1454.91105,32110.98755,36222.26993,39527.1634,9924.673912,26861.36839,1641.744665,3201.423237,7449.303292,31453.12252,3904.778669,4555.015344,38727.40874,21305.50398,36253.0337
EPS15_HUMAN,Epidermal growth factor receptor substrate 15,EPS15,1,324093.8753,32878.81817,300.3278378,14429.46888,1,4149.960015,6295.687045,235808.5656,11053.12874,818.1715786,127624.0121,469.823429,3311.351818,11365.06385,167877.8586,1,24062.89021,1,144368.2794,42588.70997,37335.87265,5818.827318,249483.3528,9661.804096,84218.35835,9.06341536,16023.87005,29388.61443,1,11889.6475,154018.7907,264.831997,767207.7747,8110.039833,2218.164325,1
EPS8_HUMAN,Epidermal growth factor receptor kinase substrate 8,EPS8,115221.9417,1672.256816,14983.88691,3552.475816,33126.86829,1,20520.12128,876.7525142,32715.49289,34754.99195,4204.098553,13499.76381,8261.791859,5977.327977,2536.730405,217897.7046,1140.8881,4768.607366,410.4302073,53173.78458,74587.72931,9426.7926,5657.387459,1,33744.02452,2822.387804,1,18823.69407,2382.097923,1490.68865,9498.184665,4521.741711,1,48440.07774,2178.020525,1002.230948,8848.443642
ERO1A_HUMAN,ERO1-like protein alpha,ERO1L,2762499.17,1021385.131,1097383.436,3081532.76,1556383.656,28457.32889,239142.0006,858110.198,998303.1827,3015994.393,440855.1437,1033944.25,1281000.878,1522537.339,5866692.487,1914514.115,1165348.875,2184754.714,5238403.737,727579.5288,1123916.646,728700.4399,992394.5648,731404.593,640770.9915,3331510.657,1401911.686,3770139.61,1664419.818,763255.4538,2247355.007,16366506.76,2806636.245,1451609.814,3277243.966,2680337.005,5103236.27
ERP29_HUMAN,Endoplasmic reticulum resident protein 29,ERP29,60830.54845,51602.96614,867754.2499,440816.8659,83941.53951,1528.127129,28729.4096,11608.13395,42068.20383,163481.3634,13031.59493,23461.01098,19424.46493,45497.85554,105391.5916,14455.71946,33308.12529,79145.25652,259636.6602,42221.32957,140528.1481,104504.4346,112057.6223,14913.80594,41497.91889,46665.01649,21811.09358,109701.6543,45691.62071,231410.5074,31571.38688,434127.6308,75808.88111,23345.56804,56299.67487,43031.80258,136024.0196
ERP44_HUMAN,Endoplasmic reticulum resident protein 44,ERP44,1359.573553,23211.47428,16814.39492,3125.056995,15918.08508,354.8124454,5925.800229,7178.698835,8050.314833,21916.19813,27673.0026,5840.711524,1925.458154,18901.32432,2247.097666,3237.59973,8945.297988,6856.449185,18273.78469,4454.47406,5067.381975,33447.92231,36573.91718,87083.18365,6314.65423,9281.828528,11658.41068,1055.739814,2524.815454,10022.02771,6529.680749,22420.30741,2706.553922,4225.126791,15693.43279,21108.65381,40015.92906
ES8L1_HUMAN,Epidermal growth factor receptor kinase substrate 8-like protein 1,EPS8L1,26454.65984,300698.7119,114160.7267,81292.95631,158689.9113,109632.5342,9448.261719,134613.5759,176199.2452,83617.85342,692289.5593,22389.4015,15089.52347,92118.38132,63985.81178,18187.09987,129011.7915,27484.10583,345566.7189,53623.46015,214274.3742,25261.90071,154788.3303,8621.369852,213838.3085,17005.66851,501292.5034,6313.82028,139691.9847,73178.79617,44727.71649,137650.5627,24863.4419,78558.52781,18948.23733,414055.6635,463778.6622
ES8L2_HUMAN,Epidermal growth factor receptor kinase substrate 8-like protein 2,EPS8L2,56021.24666,5772.21247,55125.32647,1844.869035,32196.57337,1154.148189,409.9090586,7871.8281,3805.309994,32173.515,44506.75486,2276.828784,11013.26644,99292.73861,8243.167342,53183.72818,16646.41055,79062.5028,12274.52013,5124.956694,6021.893857,50233.59593,7484.735571,12619.10758,30574.31109,140884.7768,55704.51126,5949.566275,4685.814082,8419.952639,32737.83445,17162.64779,64243.65923,27615.14501,26474.65892,172385.9911,215362.5552
EST2_HUMAN,Cocaine esterase,CES2,6909.103622,38628.64038,20617.83759,27189.85565,42197.40045,3582.827131,762.6571183,85137.57797,46429.76699,44390.3877,25588.81217,106983.5408,120907.2416,461698.8656,18128.38313,201945.6876,266995.1115,401038.7425,45124.28114,31531.98514,11971.78987,55727.56434,24782.51008,81372.82479,16704.55648,390129.5635,66425.15191,16319.21158,45866.98165,23043.45288,70957.16358,51615.82985,55498.62129,35163.3199,269886.5064,181698.0798,324186.3957
ESTD_HUMAN,S-formylglutathione hydrolase,ESD,508425.7724,90220.81839,871454.7681,184405.7119,60684.32478,1628.087795,12244.7683,107582.9319,54944.01342,305437.0742,21649.04279,27201.70779,16132.47065,90906.40939,343305.4064,18261.29713,148779.251,35865.97597,286614.5517,242332.7444,367686.5242,433634.8293,254123.8437,287397.7799,81099.25796,73639.23297,50243.04571,157718.5119,19372.85089,125776.6696,123228.4994,1087999.489,68018.7139,174445.526,80840.04004,54334.75322,150561.6709
ETFB_HUMAN,Electron transfer flavoprotein subunit beta,ETFB,81225.38504,1010404.273,171175.3041,32633.92002,1784.406715,269341.6617,3214.108277,6905.148538,13239.81951,8470.504384,10406.97587,19302.9433,7787.176453,33463.78509,123.3766998,27915.15629,52893.25634,4349.750114,9963.402333,3916.452823,9800.774687,120465.231,47850.09128,31195.71413,745.8764856,4773.965253,4391.382868,3845.73103,12043.84011,4246.180472,1075.58149,30816.61188,2580.92735,93275.47965,33253.88288,134890.9296,19417.14159
ETHE1_HUMAN,"Persulfide dioxygenase ETHE1, mitochondrial",ETHE1,309969.904,419634.9045,110387.7844,51559.28818,125292.1393,64815.66936,7691.538529,303532.2456,351006.4674,893602.9325,236555.6133,458088.6476,154911.4364,687181.657,27742.10809,31746.70546,307641.3651,209873.1655,134598.7595,197748.3892,73684.32488,13947924.25,43124.13943,292634.9075,40552.59535,257487.3835,262767.1709,153416.6521,17747.67554,84531.18834,76971.24736,52210.68007,53580.81471,237225.0845,55224.73564,257345.458,103900.8287
EVPL_HUMAN,Envoplakin,EVPL,268009.8275,91458.93746,332379.7016,738311.7329,1151452.06,177775.6842,393830.261,738525.1359,1352124.389,433186.299,432858.0929,1187082.862,1062588.562,1026416.703,670367.5678,811169.327,501134.7407,1523379.729,1188468.614,566517.0177,132529.7947,84273.34401,2880762.111,976676.446,439448.6976,326999.4284,574057.4813,4699914.04,690374.5765,827842.1089,848474.492,539227.815,1449151.911,315647.9592,1798937.447,3306582.19,2471886.971
EXOC5_HUMAN,Exocyst complex component 5,EXOC5,7316.416907,3422.311787,22118.11836,5501.957934,30508.68347,63314.04514,1,5768.413574,265.9004225,1141.084469,9083.812248,739.5593195,369.8725097,4626.062505,26883.22342,1,230455.1549,11323.30974,5899.768787,1,3886.738372,19157.6434,4256.051258,22689.98745,4311.244457,2950.569694,328.8666415,2700.137933,10082.14506,11685.52995,19603.97305,2140.151115,9243.24214,5512.992796,2886.742229,8487.69617,4641.474603
EZRI_HUMAN,Ezrin,EZR,1312766.888,1333191.015,1388439.368,1795933.733,1806864.128,166526.4053,3326702.469,4988207.443,1412911.649,460949.3043,1463652.566,3772482.9,2643900.353,7006016.521,1951089.782,3486167.359,5459436.358,3352552.354,3121722.128,1018273.34,2367726.827,3232425.615,24761321.5,227639.1318,1675163.315,4351217.168,3713479.082,4239725.915,1524831.131,5559115.108,4727514.933,5512546.453,6447200.328,1226059.735,6892793.256,3899198.381,6739227.734
F10A1_HUMAN,Hsc70-interacting protein,ST13,42138.06531,70418.7937,2746349.382,255713.3802,245698.6691,529.940887,588636.4731,42344.65432,70742.73933,176626.0265,463028.3771,95833.80671,326175.6562,716855.4394,170053.34,132326.3772,154687.3543,255112.3952,29152.99737,224768.6673,109576.0546,249525.1547,55367.9214,176134.1561,64338.75147,627284.9384,75963.22004,72843.62722,279515.0422,435168.6112,292252.3569,618583.6735,517433.2781,399741.0549,214651.69,1131397.251,214419.8941
F16P1_HUMAN,"Fructose-1,6-bisphosphatase 1",FBP1,18625.0428,3177.380702,42429.78012,35655.22712,26095.58403,15002.39794,15206.13483,66578.91299,227050.1189,84837.04351,84540.30803,222636.7552,41056.5011,92865.49839,54825.71924,97853.83102,299583.4826,700034.6003,2482.273921,24668.8484,176020.0466,711304.3484,29789.49024,115660.6265,87085.33107,67893.70303,51333.48995,125047.4668,499123.4524,29986.38319,381447.9852,164614.1174,108820.9722,170494.237,83346.76609,193268.1679,203004.9799
FA12_HUMAN,Coagulation factor XII,F12,50951.93708,589284.3542,487564.5116,900703.0498,2107746.067,280176.0727,68741.9956,140923.2404,2525485.783,18844.42616,385831.4507,97414.17464,1142482.595,755916.6181,34573.31505,3025624.408,1072534.356,445673.9796,8263.20509,732695.479,324105.2374,53815.92911,89862.60068,4132524.079,179339.9566,126154.5734,67958.95239,14897.61354,3607787.929,5200.300058,236945.1142,47267.44511,3952032.561,285256.155,317916.3766,457524.2768,167232.8468
FA49B_HUMAN,Protein FAM49B,FAM49B,14999.96469,179269.9375,173317.6931,6145.882089,168209.1242,14668.64332,58905.54554,15575.9189,43911.09234,591962.7971,85031.26625,21972.56249,29400.42729,10993.6401,114803.3549,162281.4925,42704.12167,18616.94214,5278.300788,25435.11185,725897.0201,34702.19671,178982.478,464581.0338,43983.85802,81376.92122,118735.459,43404.05503,48496.39256,28484.80745,85377.93356,141619.0771,39909.61439,119431.6551,36166.40763,15592.53829,25631.31178
FAAA_HUMAN,Fumarylacetoacetase,FAH,1058.090772,1,70499.55799,889.289719,1,1,1,3081.086301,943.9417701,10494.17408,1,9328.206677,358.2636645,28647.15342,14134.10399,5258.940682,1,27810.85563,179683.6022,16399.02088,21576.54991,36072.02456,35701.27449,552.0362525,8232.3212,2125.033316,15778.08351,61.12548463,6393.014328,2349.638731,11218.1204,108073.8846,18961.86295,2935.842753,8718.525959,32502.42003,111451.3835
FABP4_HUMAN,"Fatty acid-binding protein, adipocyte",FABP4,79519.52581,1590133.708,148319.7653,21508.0152,152956.0583,1207.457238,1,21608.21931,27808.54992,41374.47395,12285.913,31972.56496,27507.01899,12153.82204,579229.0132,333978.3992,78816.86449,9774.636346,26661.64666,13582.09653,28415.42315,6339.662076,6354.972922,15451.06641,13925.28248,31593.52636,14669.43779,12032.45631,8158.416468,13659.74185,469802.6676,127494.2456,6862.851083,131764.8995,47547.77588,2261747.433,36225.48891
FABP5_HUMAN,"Fatty acid-binding protein, epidermal",FABP5,7840332.586,288700689.9,134057421.6,4617216.212,214276916.1,15532471.47,61116363.81,28190561.81,6211382.994,3916948.529,23890151.96,2899674.819,295986888,70744257.16,24810164.26,229871995,235811533.6,128118160,87041501.93,105495556,34765338.52,2533524.312,24442413.1,2967673.949,120289156.9,219716278,112027259.8,6667080.39,143007429.3,13520591.1,221135621.4,203616608.5,722761293.5,107403037.9,418939066.5,84217714.89,353006340.9
FABPL_HUMAN,"Fatty acid-binding protein, liver",FABP1,830622.3147,801212.6922,3651599.398,980800.8368,760567.8424,178230.143,42677.77753,681748.7226,1047144.887,969289.2556,834675.2306,1225711.969,802764.9841,2095579.468,2590671.678,1351108.589,2093706.402,2019430.471,420964.6391,452583.607,963878.804,261131576.9,877619.9183,637344.0313,1795719.17,1299377.94,3086155.184,459780.543,2251843.014,1758935.925,1503385.084,2627577.392,5558888.192,1364007.86,2789691.037,2833886.33,1655982.519
